ROA: 1.000000 | RF: 9.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 9.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 2.000000 | RF: 0.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 0.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 0.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 2.000000 | RF: 0.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 2.000000 | RF: 0.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 2.000000 | RF: 0.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 2.000000 | RF: 0.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 2.000000 | RF: 0.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 2.000000 | RF: 0.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 2.000000 | RF: 0.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 2.000000 | RF: 1.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 1.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 1.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 2.000000 | RF: 1.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 2.000000 | RF: 1.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 2.000000 | RF: 1.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 2.000000 | RF: 1.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 2.000000 | RF: 1.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 2.000000 | RF: 1.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 2.000000 | RF: 1.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 2.000000 | RF: 2.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 2.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 2.000000 | RF: 2.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
